Course Title,Author,Origin,Completed,Certificate, Hours,Minutes
C# Tips and Traps,Jason Roberts,https://www.pluralsight.com,null,null,3,57
C# Tips and Traps 2,Jason Roberts,https://www.pluralsight.com,null,null,2,43
Angular RxJs Reactive Programming & FREE Ebook,Vasco Ferreira,https://www.udemy.com,null,null,7,30
Blockchain Principles and Practices,Stephen Haunts,https://www.pluralsight.com,null,null,2,41
Getting Started with Reactive Programming Using RxJS,Scott Allen,https://www.pluralsight.com,null,null,1,52
