Course Title,Author,Origin,Completed,Hours,Minutes
React Native: The Big Picture,by Adhithi Ravichandran,https://www.pluralsight.com,7/24/2021,1,3
Understanding the Java Virtual Machine: Memory Management,by Kevin Jones,https://www.pluralsight.com,7/25/2021,1,38
SOLID Software Design Principles in Java,by Dan Geabunea,https://www.pluralsight.com,7/25/2021,2,0
How Git Works,by Paolo Perrotta,https://www.pluralsight.com,7/25/2021,1,56
Mastering Git,by Paolo Perrotta,https://www.pluralsight.com,8/01/2021,3,2
Firebase Firestore: Getting Started,by Ervis Trupja,https://www.pluralsight.com,8/29/2021,1,24
Workshop: Reactive Angular Part 1,by ng-conf,https://www.pluralsight.com,8/29/2021,1,56
Learning RxJS Operators by Example Playbook,by David Mann,https://www.pluralsight.com,8/30/2021,3,48
Angular Fundamentals,by Jim Cooper and Joe Eames,https://www.pluralsight.com,9/21/2021,9,47
Serilog Enrichers: Getting Common Information into Log Entries,by Erik Dahl,https://www.pluralsight.com,10/18/2021,0,33
Angular Patterns & Best Practices,by John Papa,https://www.pluralsight.com,11/06/2021,1,5
Angular Performance,by ng-conf,https://www.pluralsight.com,11/09/2021,0,19
JavaScript Objects Prototypes and Classes,by Jim Cooper,https://www.pluralsight.com,11/13/2021,1,48
